driver_id,month_column,gender,vetek,Age,km,Total_salary
1,2015-01,F,1.4,33.0,10889.44084316811,95581.29689057718
1,2015-02,F,1.4,33.0,4990.144849189481,43828.9184573603
1,2015-03,F,1.4,33.0,9194.813198805301,91227.74124338667
1,2015-04,F,1.4,33.0,5997.860149501278,42993.881883879636
1,2015-05,F,1.4,33.0,11673.409385923866,93760.35485555949
1,2015-06,F,1.4,33.0,8196.613674014461,49637.93388196887
1,2015-07,F,1.4,33.0,8708.760752264032,62741.60265719955
1,2015-08,F,1.4,33.0,7835.417222471352,61955.3084690371
1,2015-09,F,1.4,33.0,8110.17164618305,80220.76993981925
1,2015-10,F,1.4,33.0,3632.496455013391,41871.608158973635
1,2015-10,F,1.4,34.0,4599.856108664279,32711.667855953077
1,2015-11,F,1.4,34.0,9922.564292733168,52319.44812142913
1,2015-12,F,1.4,34.0,8643.726601381162,42702.45975835682
2,2015-01,M,1.0,55.0,9142.462706301503,63397.717102298746
2,2015-02,M,1.0,55.0,10483.958899291069,106075.34139100055
2,2015-03,M,1.0,55.0,7278.290602592643,44488.48476369842
2,2015-04,M,1.0,55.0,6944.714000224962,47819.972937822575
2,2015-05,M,1.0,55.0,9404.930374528894,73641.61483395335
2,2015-06,M,1.0,55.0,8622.067867159823,61210.98373065485
2,2015-07,M,1.0,55.0,9778.354043957792,85364.91287286983
2,2015-08,M,1.0,55.0,7513.816982598065,82374.64284142587
2,2015-09,M,1.0,55.0,5843.959159021429,27854.200663127405
2,2015-09,M,1.0,56.0,4066.4442665734878,35375.531551244974
2,2015-10,M,1.0,56.0,8559.558353048626,68720.23268979693
2,2015-11,M,1.0,56.0,6886.729718031452,55754.09575532937
2,2015-12,M,1.0,56.0,9038.269952706736,59917.96934622701
3,2015-01,M,4.7,38.0,7528.02770520395,66726.10862192106
3,2015-02,M,4.7,38.0,5753.128465995785,42831.17786790573
3,2015-02,M,4.7,39.0,1929.6616398088552,15213.740178118189
3,2015-03,M,4.7,39.0,12847.38154997927,56684.88373190936
3,2015-04,M,4.7,39.0,7621.780710622796,42478.64934749793
3,2015-05,M,4.7,39.0,7425.459874098486,44387.432809141785
3,2015-06,M,4.7,39.0,6035.190462427646,44608.283977369865
3,2015-07,M,4.7,39.0,7487.14800183958,66570.76318192465
3,2015-08,M,4.7,39.0,10133.247055754666,52999.26626360948
3,2015-09,M,4.7,39.0,12785.886355977826,166737.04239340287
3,2015-10,M,4.7,39.0,6543.497490958201,39052.356973902235
3,2015-11,M,4.7,39.0,8654.388028178077,60105.93489616484
3,2015-12,M,4.7,39.0,8259.869766228974,77239.21662804617
4,2015-01,M,11.7,49.0,7882.245944477323,49100.44483337583
4,2015-02,M,11.7,49.0,7991.958351671556,64163.77447826387
4,2015-03,M,11.7,49.0,8576.269851382502,85040.46430708768
4,2015-04,M,11.7,49.0,6764.861650203347,61328.98369429042
4,2015-05,M,11.7,49.0,8389.592170401866,62328.03945942698
4,2015-06,M,11.7,49.0,9202.01622592233,97949.9194479902
4,2015-07,M,11.7,49.0,9391.456887974966,65536.01435184828
4,2015-08,M,11.7,49.0,3472.290102150994,23289.67523279771
4,2015-08,M,11.7,50.0,2491.5418141047203,13945.075637482412
4,2015-09,M,11.7,50.0,6870.371131145494,58304.02250847277
